customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
R_1N9pWwGB4wRs5qJ,402,2,22.91,1,1,1,3,Lapsed
R_1N9qRfxsySxBONQ,199,59,1642.17,3,4,4,11,Champions
R_1NCxClJRs1CoC8r,272,7,467.94000000000005,2,2,3,7,Loyal
R_1NCzj2eSHI4QGcd,111,139,2525.51,4,4,4,12,Champions
R_1NDiWYuyBol2BgP,276,37,724.16,2,4,4,10,Champions
R_1NDpAK5cXZeWOk0,802,2,59.97,1,1,1,3,Lapsed
R_1NDq0rxoUSu6oyz,121,161,3782.96,4,4,4,12,Champions
R_1NEVjqnQFBlnPsg,208,80,2196.68,3,4,4,11,Champions
R_1NFde2vzLpu8IWT,171,35,789.58,4,4,4,12,Champions
R_1Ne15WLtaDfzhn6,221,23,798.64,3,3,4,10,Champions
R_1Ne2JloUidBq219,327,2,72.98,2,1,1,4,Lapsed
R_1NeoNgC1NTMpb9s,357,5,163.12,2,1,2,5,At Risk
R_1NewMfEsTdiNbSy,226,34,343.58,3,4,3,10,Champions
R_1NfxGiJddqHvUUI,242,27,492.2,3,3,3,9,Loyal
R_1NgAUlbpH2mgLYQ,205,53,1229.49,3,4,4,11,Champions
R_1NgAWSeub1pgOGj,299,22,565.24,2,3,3,8,Loyal
R_1NglQq1cT6f3iyC,494,15,380.03999999999996,1,3,3,7,Loyal
R_1Nh9okz5clSAlfl,473,5,100.87,1,1,1,3,Lapsed
R_1Nk57CWNWLZRoiL,509,5,76.46,1,1,1,3,Lapsed
R_1NlGZCWpxXc8mjn,194,13,269.66,4,2,2,8,Loyal
R_1Nm3YmRfVbFlyxr,446,1,260.0,1,1,2,4,Lapsed
R_1Nnv2IYQFpUwHrr,574,16,320.29,1,3,3,7,Loyal
R_1NqqyzucNoF60vO,397,1,3.9,2,1,1,4,Lapsed
R_1Nt5TRV4pOyaNDt,235,31,599.88,3,4,3,10,Champions
R_1NwE45kvtaPdPCt,153,2,210.94,4,1,2,7,Loyal
R_1NxFdNqQPtjjSci,578,8,246.04999999999998,1,2,2,5,At Risk
R_1NySziOu3paaWyj,198,33,1098.12,3,4,4,11,Champions
R_1OB35RwuRIwi8tf,589,2,31.55,1,1,1,3,Lapsed
R_1OB5P2ZPguPBd8T,294,1,5.99,2,1,1,4,Lapsed
R_1OBGRKo14yqf56y,381,6,113.6,2,1,1,4,Lapsed
R_1ODe1SMZqOWRciN,130,7,176.1,4,2,2,8,Loyal
R_1ODhd1JuDR58zaI,357,7,130.92000000000002,2,2,2,6,At Risk
R_1OIDizdfPJbwBnV,221,29,734.66,3,4,4,11,Champions
R_1OJZKQM4ZrHncBJ,142,43,877.39,4,4,4,12,Champions
R_1OK4kjlIGd3SHzR,408,5,103.93,1,1,1,3,Lapsed
R_1OK73VTU4KtCpkI,319,10,253.48000000000002,2,2,2,6,At Risk
R_1OMKeKICcW0F652,159,19,411.18,4,3,3,10,Champions
R_1ONrCkUEhKm1LZY,456,21,414.71,1,3,3,7,Loyal
R_1ONsVOpSDE6jAfT,229,130,3700.94,3,4,4,11,Champions
R_1OOHz5RhknrMb71,220,2,31.9,3,1,1,5,At Risk
R_1OUCXzz9tA7EnDD,1163,2,18.38,1,1,1,3,Lapsed
R_1OULU4qXZSClHig,709,4,44.96,1,1,1,3,Lapsed
R_1OUlnkhW3dDI5OS,138,30,607.58,4,4,3,11,Champions
R_1OYNqFNHdMPgU8R,571,9,346.49999999999994,1,2,3,6,At Risk
R_1OYP3GlJXueiqir,387,8,229.7,2,2,2,6,At Risk
R_1OYP3LK9YZu0Gig,194,40,753.95,4,4,4,12,Champions
R_1OZUQwC9oyVRYlu,139,45,657.48,4,4,3,11,Champions
R_1OdAv6xEiMTPsbf,215,13,505.34999999999997,3,2,3,8,Loyal
R_1OiPcwBGmhUHeZF,245,14,466.39,3,3,3,9,Loyal
R_1OkoXmNAIM2ExN2,772,7,133.57,1,2,2,5,At Risk
R_1Old6FsuUzbiU9r,488,5,35.7,1,1,1,3,Lapsed
R_1OlyKZYuQUE5Cgc,321,19,477.73,2,3,3,8,Loyal
R_1OoDfTebvrkVh17,156,16,444.47,4,3,3,10,Champions
R_1OoTwO6DAhxUf8x,317,9,136.41,2,2,2,6,At Risk
R_1Oov0G05pkQnKNn,185,45,920.32,4,4,4,12,Champions
R_1OpBOVBIiQpQOdY,253,52,836.04,2,4,4,10,Champions
R_1OpmXXHjsxHBvog,406,13,273.02,1,2,2,5,At Risk
R_1OprtP8diGQibgy,440,3,37.96,1,1,1,3,Lapsed
R_1Oq3DG0zY5vXXn7,360,16,294.22,2,3,2,7,Loyal
R_1OqVCuM7fGds9xh,274,57,569.87,2,4,3,9,Loyal
R_1OrGvhuVOsDWJUp,294,2,35.489999999999995,2,1,1,4,Lapsed
R_1OrTsiPCkAlmb0N,115,13,227.07999999999998,4,2,2,8,Loyal
R_1OwPHmxBaFuAS1q,241,41,750.64,3,4,4,11,Champions
R_1Owwa72zuqchWxY,269,26,367.58,2,3,3,8,Loyal
R_1OxFLrUyPQnVvhR,298,4,115.66999999999999,2,1,1,4,Lapsed
R_1P0LqZV0oEW37kP,122,5,264.82000000000005,4,1,2,7,Loyal
R_1P0kCmz0zdMSEld,222,20,552.6,3,3,3,9,Loyal
R_1P12IAJWGMZsnVd,222,28,1582.6799999999998,3,4,4,11,Champions
R_1P1A6wWO5XPAIPg,133,4,173.47,4,1,2,7,Loyal
